epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1925.64,0.57361,0.58731,0.45773,0.00487,0.33903,0.91226,0.84826,0.93816,0.85312,0.90627,0.84252,0.92773,0.79154,0.41392,0.58499,0.35155,0.0069,0,0.000956145,0.000956145,0.000956145
29,1993.2,0.57794,0.57952,0.45468,0.00482,0.31953,0.86581,0.9175,0.93606,0.86448,0.89677,0.88069,0.92626,0.80709,0.38811,0.56684,0.34431,0.00597,0,0.000952889,0.000952889,0.000952889
30,2059.15,0.57222,0.56965,0.43403,0.00478,0.31094,0.88938,0.88362,0.93373,0.84911,0.88265,0.87785,0.92434,0.8017,0.4351,0.48983,0.33401,0.00763,0,0.000949524,0.000949524,0.000949524
31,2125.78,0.56846,0.53585,0.43467,0.00478,0.33596,0.89619,0.90368,0.94203,0.86902,0.88596,0.89204,0.93256,0.81359,0.37916,0.54137,0.31674,0.00618,0,0.000946048,0.000946048,0.000946048
32,2191.99,0.56531,0.58612,0.44243,0.00469,0.31347,0.8738,0.90707,0.93664,0.86026,0.86326,0.89567,0.92761,0.8106,0.40525,0.46806,0.33718,0.00669,0,0.000942464,0.000942464,0.000942464
33,2258.33,0.57445,0.5966,0.43138,0.00494,0.30677,0.92237,0.89909,0.9378,0.85966,0.91415,0.89046,0.92787,0.80159,0.41439,0.54886,0.32775,0.00688,0,0.000938772,0.000938772,0.000938772
34,2323.24,0.56725,0.57912,0.44542,0.0047,0.32162,0.88902,0.85178,0.91921,0.84569,0.8772,0.84337,0.90976,0.78792,0.4254,0.48022,0.40602,0.00745,0,0.000934973,0.000934973,0.000934973
35,2389.75,0.57981,0.61736,0.44609,0.00486,0.34287,0.87911,0.88355,0.93514,0.86314,0.88924,0.8697,0.92909,0.82049,0.38544,0.47407,0.34941,0.00614,0,0.000931067,0.000931067,0.000931067
36,2456.9,0.57378,0.55175,0.42624,0.00487,0.35352,0.90715,0.90012,0.94637,0.87146,0.89506,0.8915,0.93615,0.817,0.37078,0.49115,0.30703,0.00624,0,0.000927057,0.000927057,0.000927057
37,2524,0.55732,0.54705,0.42144,0.00462,0.33094,0.89921,0.89547,0.93426,0.8567,0.88834,0.88452,0.92387,0.81103,0.40907,0.46889,0.37087,0.00695,0,0.000922942,0.000922942,0.000922942
38,2590.55,0.56618,0.57324,0.42284,0.00462,0.2918,0.89578,0.90655,0.93264,0.86445,0.88699,0.89793,0.9221,0.8102,0.37081,0.45174,0.34661,0.00603,0,0.000918725,0.000918725,0.000918725
39,2657.56,0.54935,0.57323,0.40696,0.00478,0.27579,0.87411,0.92306,0.93654,0.86442,0.86414,0.91211,0.92263,0.79442,0.38987,0.57097,0.30701,0.00632,0,0.000914405,0.000914405,0.000914405
40,2722.51,0.54637,0.58098,0.41009,0.00458,0.27985,0.90142,0.91517,0.92652,0.87033,0.89868,0.9123,0.92136,0.80237,0.34026,0.4688,0.33083,0.00558,0,0.000909984,0.000909984,0.000909984
41,2789,0.55711,0.53934,0.41199,0.00473,0.29217,0.88894,0.91732,0.94256,0.86778,0.87904,0.9051,0.92893,0.80891,0.38702,0.56393,0.31256,0.0066,0,0.000905463,0.000905463,0.000905463
42,2853.81,0.54803,0.52004,0.41076,0.00468,0.27098,0.91401,0.88828,0.93496,0.86532,0.9054,0.88025,0.92774,0.80502,0.3585,0.45107,0.31689,0.006,0,0.000900844,0.000900844,0.000900844
43,2918.94,0.55077,0.57904,0.40383,0.00453,0.29131,0.89957,0.8802,0.93519,0.86825,0.89073,0.87158,0.92511,0.80945,0.33523,0.47009,0.31988,0.00546,0,0.000896127,0.000896127,0.000896127
44,2984.37,0.5403,0.56244,0.3928,0.00443,0.2676,0.90488,0.90407,0.95073,0.88517,0.92586,0.86843,0.93659,0.8289,0.37876,0.49802,0.30707,0.00646,0,0.000891313,0.000891313,0.000891313
45,3049.99,0.54305,0.55033,0.39922,0.00435,0.28381,0.89474,0.90944,0.94567,0.8851,0.9113,0.88123,0.93395,0.82192,0.36379,0.49072,0.29636,0.00571,0,0.000886404,0.000886404,0.000886404
46,3115.52,0.54425,0.55065,0.38918,0.00441,0.28052,0.90126,0.91598,0.94186,0.87065,0.89182,0.90412,0.92828,0.8028,0.37676,0.60478,0.2878,0.00611,0,0.000881401,0.000881401,0.000881401
